Dr. Ernst Dieter Rossmann,1,1,1,0,0
Dr. Erwin Lotter,1,0,0,0,0
Dr. Eva Högl,1,1,1,0,0
Dr. Florian Toncar,1,0,1,1,0
Dr. Frank Steffel,1,1,1,0,0
Dr. Frank-Walter Steinmeier,1,1,0,0,0
Dr. Franz Josef Jung,1,1,0,0,0
Dr. Franziska Brantner,0,1,1,1,0
Dr. Franziska Kersten,0,0,0,1,0
Dr. Franziska Krumwiede-Steiner,0,0,0,1,0
Dr. Frauke Petry,0,0,1,0,0
Dr. Frithjof Schmidt,1,1,1,0,0
Dr. Fritz Felgentreu,0,1,1,0,0
Dr. Georg Kippels,0,1,1,1,0
Dr. Georg Nüßlein,1,1,1,0,0
Dr. Gerd Müller,1,1,1,0,0
Dr. Gerhard Schick,1,1,1,0,0
Dr. Gero Clemens Hocker,0,0,1,1,0
Dr. Gesine Lötzsch,1,1,1,1,0
Dr. Gottfried Curio,0,0,1,1,0
Dr. Gregor Gysi,1,1,1,1,0
Dr. Guido Westerwelle,1,0,0,0,0
Dr. Götz Frömming,0,0,1,1,0
Dr. Günter Krings,1,1,1,1,0
Dr. Hans-Joachim Schabedoth,0,1,0,0,0
Dr. Hans-Peter Bartels,1,1,0,0,0
Dr. Hans-Peter Friedrich (Hof),1,1,1,1,0
Dr. Hans-Peter Uhl,1,1,0,0,0
Dr. Hans-Ulrich Krüger,0,1,0,0,0
Dr. Harald Terpe,1,1,0,0,0
Dr. Harald Weyel,0,0,1,1,0
Dr. Heiko Heßenkemper,0,0,1,0,0
Dr. Heiko Wildberg,0,0,1,0,0
Dr. Heinrich L. Kolb,1,0,0,0,0
Dr. Heinz Riesenhuber,1,1,0,0,0
Dr. Helge Braun,1,1,1,1,0
Dr. Hendrik Hoppenstedt,0,1,1,1,0
Dr. Herbert Wollmann,0,0,0,1,0
Dr. Heribert Hirte,0,1,1,0,0
Dr. Herlind Gundelach,0,1,0,0,0
Dr. Hermann E. Ott,1,0,0,0,0
Dr. Hermann Kues,1,0,0,0,0
Dr. Hermann Ott,1,0,0,0,0
Dr. Hermann Otto Solms,1,0,1,0,0
Dr. Hermann-Josef Tebroke,0,0,1,1,0
Dr. Holger Becker,0,0,0,1,0
Dr. Ilja Seifert,1,0,0,0,0
Dr. Ingeborg Gräßle,0,0,0,1,0
Dr. Ingrid Nestle,0,0,1,1,0
Dr. Irene Mihalic,0,0,1,1,0
Dr. Jan-Marco Luczak,1,1,1,1,0
Dr. Jan-Niclas Gesenhues,0,0,0,1,0
Dr. Janosch Dahmen,0,0,1,1,0
Dr. Jens Brandenburg (Rhein-Neckar),0,0,1,1,0
Dr. Jens Zimmermann,0,1,1,1,0
Dr. Joachim Pfeiffer,1,1,1,0,0
Dr. Joe Weingarten,0,0,1,1,0
Dr. Johann David Wadephul,0,0,1,1,0
Dr. Johann Wadephul,1,1,0,0,0
Dr. Johannes Fechner,0,1,1,1,0
Dr. Jonas Geissler,0,0,0,1,0
Dr. Julia Verlinden,0,1,1,1,0
Dr. Jürgen Martens,0,0,1,0,0
Dr. Karamba Diaby,0,1,1,1,0
Dr. Karin Thissen,0,1,0,0,0
Dr. Karl A. Lamers,0,1,0,0,0
Dr. Karl A. Lamers (Heidelberg),1,0,0,0,0
Dr. Karl Lauterbach,1,1,1,1,0
Dr. Karl-Heinz Brunner,0,1,1,0,0
Dr. Katarina Barley,0,1,1,0,0
Dr. Katja Leikert,0,1,1,1,0
Dr. Kirsten Kappert-Gonther,0,0,1,1,0
Dr. Kirsten Tackmann,1,1,1,0,0
Dr. Klaus Wiener,0,0,0,1,0
Dr. Klaus-Peter Schulze,0,1,1,0,0
Dr. Konstantin von Notz,1,1,1,1,0
Dr. Kristian Klinck,0,0,0,1,0
Dr. Kristina Schröder,1,0,0,0,0
Dr. Kristina Schröder (Wiesbaden),1,1,0,0,0
Dr. Lars Castellucci,0,1,1,1,0
Dr. Lina Seitzl,0,0,0,1,0
Dr. Lothar Maier,0,0,1,0,0
Dr. Lukas Köhler,0,0,1,1,0
Dr. Lukrezia Jochimsen,1,0,0,0,0
Dr. Lutz Knopek,1,0,0,0,0
Dr. Malte Kaufmann,0,0,0,1,0
Dr. Manja Schüle,0,0,1,0,0
Dr. Manuela Rottmann,0,0,1,1,0
Dr. Marc Jongen,0,0,1,1,0
Dr. Marcel Klinge,0,0,1,0,0
Dr. Marco Buschmann,0,0,1,1,0
Dr. Marcus Faber,0,0,1,1,0
Dr. Maria Böhmer,1,1,0,0,0
Dr. Maria Flachsbarth,1,1,1,0,0
Dr. Maria-Lena Weiss,0,0,0,1,0
Dr. Marie-Agnes Strack-Zimmermann,0,0,1,1,0
Dr. Markus Reichel,0,0,0,1,0
Dr. Marlies Volkmer,1,0,0,0,0
Dr. Marlon Bröhr,0,0,0,1,0
Dr. Martin Lindner (Berlin),1,0,0,0,0
Dr. Martin Neumann (Lausitz),1,0,1,0,0
Dr. Martin Plum,0,0,0,1,0
