ID,Person
1004,Maik Beermann
1005,Maika Friemann-Jennert
1006,Maja Wallstein
1007,Manfred Behrens (Börde)
1008,Manfred Grund
1009,Manfred Kolbe
1010,Manfred Nink
1011,Manfred Schiller
1012,Manfred Todtenhausen
1013,Manfred Zöllmer
1014,Manuel Gava
1015,Manuel Höferlin
1016,Manuel Sarrazin
1017,Marc Bernhard
1018,Marc Biadacz
1019,Marc Henrichmann
1020,Marcel Emmerich
1021,Marco Buschmann
1022,Marco Bülow
1023,Marco Wanderwitz
1024,Marcus Bühl
1025,Marcus Held
1026,Marcus Weinberg (Hamburg)
1027,Mareike Lotte Wulf
1028,Margaret Horb
1029,Margarete Bause
1030,Margit Stumpp
1031,Maria  Klein-Schmeink
1032,Maria Klein-Schmeink
1033,Maria Michalk
1034,Maria-Lena Weiss
1035,Marian Wendt
1036,Mariana Iris Harder-Kühnel
1037,Marianne Schieder
